0.225,0.2,0.25,44.61,0.82,-0.82,5.99,-5.99,0.5%,-0.5%
0.275,0.25,0.3,39.27,0.45,-0.45,4.28,-4.28,0.5%,-0.5%
0.32499999999999996,0.3,0.35,38.91,0.4,-0.4,3.17,-3.17,0.5%,-0.5%
0.375,0.35,0.4,37.71,0.36,-0.36,3.06,-3.06,0.5%,-0.5%
0.42500000000000004,0.4,0.45,34.74,0.61,-0.61,2.84,-2.84,0.5%,-0.5%
0.475,0.45,0.5,31.95,0.33,-0.33,4.29,-4.29,0.5%,-0.5%
0.525,0.5,0.55,28.35,0.46,-0.46,1.65,-1.65,0.5%,-0.5%
0.575,0.55,0.6,25.3,0.36,-0.36,1.73,-1.73,0.5%,-0.5%
0.625,0.6,0.65,23.35,0.33,-0.33,1.44,-1.44,0.5%,-0.5%
0.675,0.65,0.7,21.75,0.31,-0.31,1.33,-1.33,0.5%,-0.5%
0.725,0.7,0.75,19.71,0.29,-0.29,1.2,-1.2,0.5%,-0.5%
0.775,0.75,0.8,18.09,0.27,-0.27,1.04,-1.04,0.5%,-0.5%
0.825,0.8,0.85,15.92,0.24,-0.24,0.96,-0.96,0.5%,-0.5%
0.875,0.85,0.9,14.46,0.24,-0.24,0.84,-0.84,0.5%,-0.5%
0.925,0.9,0.95,12.68,0.22,-0.22,0.73,-0.73,0.5%,-0.5%
0.975,0.95,1.0,11.19,0.2,-0.2,0.63,-0.63,0.5%,-0.5%
1.05,1.0,1.1,9.233,0.127,-0.127,0.54,-0.54,0.5%,-0.5%
1.15,1.1,1.2,7.272,0.11,-0.11,0.434,-0.434,0.5%,-0.5%
1.25,1.2,1.3,5.668,0.061,-0.061,0.469,-0.469,0.5%,-0.5%
1.35,1.3,1.4,4.443,0.053,-0.053,0.374,-0.374,0.5%,-0.5%
1.45,1.4,1.5,3.415,0.044,-0.044,0.293,-0.293,0.5%,-0.5%
1.55,1.5,1.6,2.634,0.036,-0.036,0.232,-0.232,0.5%,-0.5%
1.65,1.6,1.7,2.035,0.031,-0.031,0.185,-0.185,0.5%,-0.5%
1.75,1.7,1.8,1.57,0.025,-0.025,0.148,-0.148,0.5%,-0.5%
1.85,1.8,1.9,1.198,0.021,-0.021,0.118,-0.118,0.5%,-0.5%
1.95,1.9,2.0,0.8994,0.0163,-0.0163,0.0922,-0.0922,0.5%,-0.5%
2.05,2.0,2.1,0.7075,0.0141,-0.0141,0.076,-0.076,0.5%,-0.5%
2.1500000000000004,2.1,2.2,0.5347,0.0112,-0.0112,0.0603,-0.0603,0.5%,-0.5%
2.25,2.2,2.3,0.4492,0.0105,-0.0105,0.0534,-0.0534,0.5%,-0.5%
2.3499999999999996,2.3,2.4,0.3302,0.008,-0.008,0.0414,-0.0414,0.5%,-0.5%
2.45,2.4,2.5,0.2613,0.0067,-0.0067,0.0346,-0.0346,0.5%,-0.5%
2.55,2.5,2.6,0.2088,0.0059,-0.0059,0.0292,-0.0292,0.5%,-0.5%
2.6500000000000004,2.6,2.7,0.1632,0.005,-0.005,0.0242,-0.0242,0.5%,-0.5%
2.75,2.7,2.8,0.1186,0.0036,-0.0036,0.0186,-0.0186,0.5%,-0.5%
2.8499999999999996,2.8,2.9,0.09641,0.00321,-0.00321,0.01603,-0.01603,0.5%,-0.5%
2.95,2.9,3.0,0.0763,0.0027,-0.0027,0.01344,-0.01344,0.5%,-0.5%